"Year","GEO","Industry","VA_EXP","GDP"
2013,"Ontario","Professional, scientific and technical services [BS540]",8989864,696192
2013,"Ontario","Administrative and support, waste management and remediation services [BS560]",3924484,696192
2013,"Ontario","Educational services [BS610]",372006,696192
2013,"Ontario","Health care and social assistance [BS620]",61,696192
2013,"Ontario","Arts, entertainment and recreation [BS710]",964583,696192
2013,"Ontario","Accommodation and food services [BS720]",2600672,696192
2013,"Ontario","Other services (except public administration) [BS810]",64582,696192
2013,"Ontario","Non-profit institutions serving households [NP000]",107600,696192
2013,"Ontario","Government education services [GS610]",860486,696192
2013,"Ontario","Government health services [GS620]",383239,696192
2013,"Ontario","Other federal government services [GS911]",838559,696192
2013,"Ontario","Other provincial and territorial government services [GS912]",279247,696192
2013,"Ontario","Other municipal government services [GS913]",302482,696192
2013,"Prince Edward Island","Total industries",774587,5766
2013,"Prince Edward Island","Crop and animal production [BS11A]",81846,5766
2013,"Prince Edward Island","Forestry and logging [BS113]",15,5766
2013,"Prince Edward Island","Fishing, hunting and trapping [BS114]",22429,5766
2013,"Prince Edward Island","Support activities for agriculture and forestry [BS115]",1,5766
2013,"Prince Edward Island","Mining, quarrying, and oil and gas extraction [BS210]",0,5766
2013,"Prince Edward Island","Other activities of the construction industry [BS23E]",39,5766
